N M h2 pval
-1 -1 0.0001 0.01641262862748072
-1 -1 0.0001 0.00027968646907494676
-1 -1 0.0001 0.003176318002769074
-1 -1 0.0001 8.526449065904274e-06
-1 -1 0.0001 0.15209763393675435
-1 -1 0.0001 0.002554065301513808
-1 -1 0.0001 0.24215806605758028
-1 -1 0.0001 0.032203371098391775
-1 -1 0.0001 0.03392898039720049
-1 -1 0.0001 0.009767760155189875
-1 -1 0.0001 3.9725404761048466e-05
-1 -1 0.0001 0.7500589333644356
-1 -1 0.0001 0.16803804877520234
-1 -1 0.0001 3.829637143626385e-06
-1 -1 0.0001 0.5617895882590112
-1 -1 0.0001 6.0915353583768095e-05
-1 -1 0.0001 0.02310920670981198
-1 -1 0.0001 0.0008587043792356308
-1 -1 0.0001 0.13776103602105538
-1 -1 0.0001 0.546740007947768
-1 -1 0.0001 0.011488341562758353
-1 -1 0.0001 0.007393559716183162
-1 -1 0.0001 0.016854079559607604
-1 -1 0.0001 2.153242006452949e-05
-1 -1 0.0001 0.3802858015126783
-1 -1 0.0001 0.01715106783700837
-1 -1 0.0001 0.05448234446927125
-1 -1 0.0001 0.042968880494332895
-1 -1 0.0001 3.820166193935215e-06
-1 -1 0.0001 0.05056140268474585
-1 -1 0.0001 0.07463412012361581
-1 -1 0.0001 0.005017524208941637
-1 -1 0.0001 0.017033650069187445
-1 -1 0.0001 8.699206173101715e-05
-1 -1 0.0001 0.04848067426274494
-1 -1 0.0001 0.005881830946609323
-1 -1 0.0001 0.022727620855820585
-1 -1 0.0001 0.23582406447638782
-1 -1 0.0001 0.3750784526445633
-1 -1 0.0001 0.00019964102333014377
-1 -1 0.0001 1.1018852497102216e-11
-1 -1 0.0001 0.20656693369212675
-1 -1 0.0001 0.007892500738143848
-1 -1 0.0001 0.16742840467769915
-1 -1 0.0001 0.008456902557320234
-1 -1 0.0001 0.0414859963819717
-1 -1 0.0001 0.04052258341799542
-1 -1 0.0001 0.001256018711714102
-1 -1 0.0001 2.9587550596898993e-05
-1 -1 0.0001 0.4124580239090848
-1 -1 0.0001 0.0396626841772687
-1 -1 0.0001 0.005800627744785958
-1 -1 0.0001 3.4057781248542085e-05
-1 -1 0.0001 0.259905628801541
-1 -1 0.0001 0.4474734881579977
-1 -1 0.0001 4.221636824564001e-06
-1 -1 0.0001 0.028107780793553916
-1 -1 0.0001 0.0005673899920756176
-1 -1 0.0001 1.59670795996103e-06
-1 -1 0.0001 0.18848877991412505
-1 -1 0.0001 0.08724664189228248
-1 -1 0.0001 0.2435863028752231
-1 -1 0.0001 0.17821104462113913
