N M h2 pval
-1 -1 0.0001 1.6489694720789316e-08
-1 -1 0.0001 0.05686951056178369
-1 -1 0.0001 0.1087759790934898
-1 -1 0.0001 0.9066831373506353
-1 -1 0.0001 0.008875332107309064
-1 -1 0.0001 0.2193311934206601
-1 -1 0.0001 0.01913570469222825
-1 -1 0.0001 0.0008847893579179145
-1 -1 0.0001 0.2717291223328355
-1 -1 0.0001 0.007123777912529827
-1 -1 0.0001 0.006347871912123604
-1 -1 0.0001 1.9165433776224816e-05
-1 -1 0.0001 1.3285681063734955e-05
-1 -1 0.0001 0.2498082366113603
-1 -1 0.0001 0.025180985246347265
-1 -1 0.0001 2.9966654973789808e-05
-1 -1 0.0001 0.29233973404572233
-1 -1 0.0001 0.04351156494315389
-1 -1 0.0001 0.1328152274750134
-1 -1 0.0001 0.0026968537789280322
-1 -1 0.0001 0.004057201960623091
-1 -1 0.0001 0.0318921948113432
-1 -1 0.0001 0.47571120394815547
-1 -1 0.0001 0.028183468710952675
-1 -1 0.0001 0.06498263248522473
-1 -1 0.0001 0.0684998341033074
-1 -1 0.0001 6.969823156244281e-05
-1 -1 0.0001 1.7446911541263432e-05
-1 -1 0.0001 0.19193655872906357
-1 -1 0.0001 0.01877777211546916
-1 -1 0.0001 0.003917313602281536
-1 -1 0.0001 0.07436254548948984
-1 -1 0.0001 0.3532542693402496
-1 -1 0.0001 0.000971838456168661
-1 -1 0.0001 0.3654369776173412
-1 -1 0.0001 0.022372355468037064
-1 -1 0.0001 0.003983481616687934
-1 -1 0.0001 0.04317041711118241
-1 -1 0.0001 0.00046199959635162546
-1 -1 0.0001 7.254969140335632e-06
-1 -1 0.0001 0.15705323368112545
-1 -1 0.0001 0.14980088061106467
-1 -1 0.0001 0.00020922739426798564
-1 -1 0.0001 0.5077827800914894
-1 -1 0.0001 0.07628600035067756
-1 -1 0.0001 0.1396992192629638
-1 -1 0.0001 0.03531689915012293
-1 -1 0.0001 0.001687225418483762
-1 -1 0.0001 0.0002904702582608998
-1 -1 0.0001 0.06725451896173773
-1 -1 0.0001 0.01720409964826164
-1 -1 0.0001 0.04114604197979843
-1 -1 0.0001 0.00011499619127752769
-1 -1 0.0001 0.002215029477253161
-1 -1 0.0001 0.010963794730173726
-1 -1 0.0001 3.0740952428054413e-07
-1 -1 0.0001 0.0005797899536826856
-1 -1 0.0001 0.0004699241216686856
-1 -1 0.0001 0.05841135970883993
-1 -1 0.0001 0.00016431478607303873
-1 -1 0.0001 0.017617580553254908
-1 -1 0.0001 0.0007731846353461469
-1 -1 0.0001 0.0007219555786563969
-1 -1 0.0001 0.17041924592125046
-1 -1 0.0001 0.00019060822370631225
-1 -1 0.0001 0.12773724927045838
-1 -1 0.0001 0.04233925957692497
-1 -1 0.0001 0.008527320842324437
-1 -1 0.0001 0.007021785915286571
-1 -1 0.0001 0.029108072707590305
-1 -1 0.0001 0.2762925054134838
-1 -1 0.0001 0.09016970269027069
-1 -1 0.0001 0.011105091781938414
