N,M,h2,h2_est,h2_diff
-1,-1,0.01,0.007341726036626763,0.002658273963373237
-1,-1,0.01,0.010337100149023074,-0.0003371001490230733
-1,-1,0.01,0.014131383396788433,-0.004131383396788433
-1,-1,0.01,0.008341588821609422,0.0016584111783905786
-1,-1,0.01,0.011105743492992167,-0.0011057434929921672
-1,-1,0.01,0.008786182093910548,0.0012138179060894524
-1,-1,0.01,0.010489739971673752,-0.0004897399716737513
-1,-1,0.01,0.011236225186151983,-0.0012362251861519832
-1,-1,0.01,0.010528735403442036,-0.0005287354034420357
-1,-1,0.01,0.010053923670530077,-5.392367053007677e-05
-1,-1,0.01,0.006498349511028212,0.003501650488971788
-1,-1,0.01,0.010058278972527323,-5.827897252732271e-05
-1,-1,0.01,0.011649058238991284,-0.0016490582389912835
-1,-1,0.01,0.00808852478980099,0.0019114752101990103
-1,-1,0.01,0.009798418936369608,0.0002015810636303919
-1,-1,0.01,0.008611568012725283,0.0013884319872747176
-1,-1,0.01,0.013896490528205876,-0.0038964905282058756
-1,-1,0.01,0.010092564246770347,-9.256424677034705e-05
-1,-1,0.01,0.01259226901530417,-0.0025922690153041706
-1,-1,0.01,0.00611843016432971,0.0038815698356702904
-1,-1,0.01,0.009811161546026119,0.00018883845397388126
-1,-1,0.01,0.00944644923953805,0.0005535507604619502
-1,-1,0.01,0.00862438356981075,0.0013756164301892502
-1,-1,0.01,0.008676372680993678,0.0013236273190063222
-1,-1,0.01,0.011686536101101735,-0.0016865361011017353
-1,-1,0.01,0.008052999885168834,0.0019470001148311662
-1,-1,0.01,0.01012571221790119,-0.0001257122179011902
-1,-1,0.01,0.014683333547357142,-0.004683333547357142
-1,-1,0.01,0.009743993096992767,0.0002560069030072328
-1,-1,0.01,0.010088818420832101,-8.8818420832101e-05
-1,-1,0.01,0.01417848002642192,-0.00417848002642192
-1,-1,0.01,0.011636112825108536,-0.0016361128251085356
-1,-1,0.01,0.008258250328023633,0.0017417496719763677
-1,-1,0.01,0.006138987769312254,0.0038610122306877463
-1,-1,0.01,0.007312178425119996,0.002687821574880004
-1,-1,0.01,0.009107006390565562,0.0008929936094344386
-1,-1,0.01,0.013092167538560504,-0.0030921675385605033
-1,-1,0.01,0.011686536101101735,-0.0016865361011017353
-1,-1,0.01,0.006974037388279493,0.003025962611720507
-1,-1,0.01,0.011182884014588846,-0.0011828840145888461
-1,-1,0.01,0.008190448063029147,0.0018095519369708529
-1,-1,0.01,0.006597959645272718,0.0034020403547272825
-1,-1,0.01,0.010130725036707268,-0.00013072503670726737
