N,M,h2,h2_est
-1,25,0.01,0.010965909245436053
-1,25,0.01,0.009217647800685408
-1,25,0.01,0.009731336867499468
-1,25,0.01,0.012520202483625766
-1,25,0.01,0.00884680703229211
-1,25,0.01,0.009363764490977353
-1,25,0.01,0.009905110014016024
-1,25,0.01,0.0106821927065341
-1,50,0.01,0.01100121371465957
-1,50,0.01,0.010686817232979127
-1,50,0.01,0.009806912187489575
-1,50,0.01,0.009586064909498742
-1,50,0.01,0.010704011390755545
-1,50,0.01,0.010682853231950912
-1,50,0.01,0.008898471140362551
-1,50,0.01,0.010959132780558198
-1,50,0.01,0.00942425172864681
-1,50,0.01,0.011138050684478146
-1,50,0.01,0.010848587814274155
-1,50,0.01,0.00930654261611797
-1,50,0.01,0.009163580209634693
-1,50,0.01,0.010827816395570398
-1,50,0.01,0.010543069635010605
-1,50,0.01,0.00873678787083671
-1,50,0.01,0.011979578010456897
-1,50,0.01,0.009609829463965687
-1,50,0.01,0.009661719000375667
-1,50,0.01,0.011259858414687126
-1,50,0.01,0.009370143950625803
-1,50,0.01,0.010933419960666949
-1,50,0.01,0.010349255631054897
-1,50,0.01,0.010846575955807562
-1,50,0.01,0.010068863911031137
-1,50,0.01,0.010416041924142569
-1,50,0.01,0.009823920562734336
-1,50,0.01,0.010538506650112653
-1,50,0.01,0.009198261075752775
-1,50,0.01,0.010383237835067784
-1,50,0.01,0.010815104973466801
-1,50,0.01,0.010739145809443715
-1,50,0.01,0.009859245157320194
-1,50,0.01,0.009926585839206227
-1,50,0.01,0.009969675871778607
-1,50,0.01,0.01126055425306736
-1,50,0.01,0.008642035835836991
-1,50,0.01,0.009737361612111944
-1,50,0.01,0.010014809861451028
-1,50,0.01,0.01111398331837425
-1,50,0.01,0.00905302114544173
-1,50,0.01,0.010092564246770347
-1,50,0.01,0.00998387440060379
-1,50,0.01,0.009945030373631446
-1,50,0.01,0.010273356409240451
-1,50,0.01,0.009580132870245386
-1,50,0.01,0.010545677932488753
-1,50,0.01,0.01105438126552456
-1,50,0.01,0.01120502130362072
-1,50,0.01,0.010618313393468236
-1,50,0.01,0.00918573825581097
-1,50,0.01,0.009829393740447187
-1,50,0.01,0.010489739971673752
-1,50,0.01,0.009493350248291059
-1,50,0.01,0.011025721089268305
-1,50,0.01,0.010526782229989257
-1,50,0.01,0.008841328376109115
-1,50,0.01,0.00959437587604099
-1,50,0.01,0.010016669003520015
-1,50,0.01,0.011096137997457508
-1,50,0.01,0.010957100648740314
-1,50,0.01,0.008690360622412437
-1,50,0.01,0.011516683974505892
-1,50,0.01,0.009856804946234074
-1,50,0.01,0.010257481349786268
-1,50,0.01,0.009488062392468723
-1,50,0.01,0.00854353654330338
-1,50,0.01,0.010976760209102807
-1,50,0.01,0.012834669112578181
-1,50,0.01,0.010852612638491424
-1,50,0.01,0.009108134468387931
-1,50,0.01,0.009679676198780015
-1,50,0.01,0.009193705367288047
-1,50,0.01,0.009725315813935211
-1,50,0.01,0.00915167089677303
-1,50,0.01,0.010419263525753612
-1,50,0.01,0.009462252616315978
-1,50,0.01,0.008735705380260523
-1,50,0.01,0.00983730477180475
-1,50,0.01,0.01030135558947533
-1,50,0.01,0.009748818803655836
-1,50,0.01,0.0096653077990505
-1,50,0.01,0.01050597067215506
-1,50,0.01,0.010389661942082172
-1,50,0.01,0.009448203878516796
-1,50,0.01,0.009923515044288138
-1,50,0.01,0.009965358549303029
-1,50,0.01,0.010130725036707268
-1,50,0.01,0.01026890894333618
-1,50,0.01,0.010184138161468721
-1,50,0.01,0.009662915119960301
-1,50,0.01,0.010621596884596076
-1,50,0.01,0.010037142127860164
-1,50,0.01,0.01185886321387762
-1,50,0.01,0.010184768207099626
-1,50,0.01,0.009918603728403946
-1,50,0.01,0.009000467875978054
-1,50,0.01,0.010034037478903208
-1,50,0.01,0.01045994027774548
-1,50,0.01,0.01009881034932063
-1,100,0.01,0.010413465352519333
-1,100,0.01,0.008886352803871869
-1,100,0.01,0.010182878185928433
-1,100,0.01,0.008913918166637743
-1,100,0.01,0.010676909957383029
-1,100,0.01,0.00926686568665344
-1,100,0.01,0.010266368389783304
-1,100,0.01,0.010844564466347406
-1,100,0.01,0.01040445231721712
-1,100,0.01,0.009914921820724332
-1,100,0.01,0.010225171468574828
-1,100,0.01,0.010071356086739432
-1,100,0.01,0.010461234173161396
-1,100,0.01,0.010198638975037738
-1,100,0.01,0.010022248479795638
-1,100,0.01,0.010730517388974096
-1,100,0.01,0.009674285571897022
-1,100,0.01,0.011320555659445715
-1,100,0.01,0.009926585839206227
-1,100,0.01,0.009542844529682319
-1,100,0.01,0.009976463976882078
-1,100,0.01,0.010554812002060342
-1,100,0.01,0.011275176683175549
-1,100,0.01,0.010162110849891968
-1,100,0.01,0.00938175399985127
-1,100,0.01,0.009828177217891832
-1,100,0.01,0.010475477478846485
-1,100,0.01,0.010633425771635324
-1,100,0.01,0.01035758068833583
-1,100,0.01,0.009644988712944952
-1,100,0.01,0.00925482339412993
-1,100,0.01,0.010144522956891508
-1,100,0.01,0.010984905399319792
-1,100,0.01,0.010160853571582307
-1,100,0.01,0.009567687418345808
-1,100,0.01,0.009301933781536145
-1,100,0.01,0.009899595097674203
-1,100,0.01,0.010526782229989257
-1,100,0.01,0.01026890894333618
-1,100,0.01,0.010743130471683012
-1,100,0.01,0.010313469477209358
-1,100,0.01,0.010103809986069896
-1,100,0.01,0.009349860599605412
-1,100,0.01,0.009375947195185648
-1,100,0.01,0.010758418562470654
-1,100,0.01,0.010246066341602496
-1,100,0.01,0.010189809961110376
-1,100,0.01,0.010403165371018031
-1,100,0.01,0.010590771682469649
-1,100,0.01,0.010576373289008009
-1,100,0.01,0.009534577771572123
-1,100,0.01,0.010427644304794878
-1,100,0.01,0.010135740311740828
-1,100,0.01,0.009375366710560239
-1,100,0.01,0.009430672005471508
-1,100,0.01,0.009978316072197978
-1,100,0.01,0.009915535378026717
-1,100,0.01,0.010039626531640061
-1,100,0.01,0.010032175145829119
-1,100,0.01,0.009930886532557486
-1,100,0.01,0.009862906595425646
-1,100,0.01,0.01012445939684719
-1,100,0.01,0.010641976960478753
-1,100,0.01,0.010947622292982465
-1,100,0.01,0.010071356086739414
-1,100,0.01,0.010529386540932276
-1,100,0.01,0.00893879943513275
-1,100,0.01,0.011155962650895721
-1,100,0.01,0.010039005373634766
-1,100,0.01,0.009857414942941884
-1,100,0.01,0.010008615187811092
-1,100,0.01,0.010913837166842985
-1,100,0.01,0.009830002057630637
-1,100,0.01,0.010747116596333131
-1,100,0.01,0.010610437111108087
-1,100,0.01,0.010307729563635962
-1,100,0.01,0.009970292783262167
-1,100,0.01,0.00980509159170416
-1,100,0.01,0.009356230676106896
-1,100,0.01,0.009762101702089906
-1,100,0.01,0.009615184523849062
-1,100,0.01,0.010481309814461192
-1,100,0.01,0.009917989983138933
-1,100,0.01,0.0092898463453285
-1,100,0.01,0.010916536178172486
-1,100,0.01,0.010157082660319125
-1,100,0.01,0.011009376848357373
-1,100,0.01,0.010480013462291573
-1,100,0.01,0.010408314101072381
-1,100,0.01,0.009856804946234074
-1,100,0.01,0.010838532211344091
-1,100,0.01,0.009126202554027562
-1,100,0.01,0.010537854954641119
-1,100,0.01,0.010211264987113724
-1,100,0.01,0.010164625868454959
-1,100,0.01,0.011121541801653376
-1,100,0.01,0.011232059710014845
-1,100,0.01,0.009622329200807791
-1,100,0.01,0.010872758922475917
-1,100,0.01,0.008610500902158763
